island,population,spine_position_mean_0,spine_position_mean_1,spine_position_var_0,spine_position_var_1,spine_position_se_0,spine_position_se_1,spine_position_n_0,spine_position_n_1,S_length
Floreana,CC,44.4,0,37.38775510204081,0,0.8647283400240888,0,50,0,44.4
Floreana,CD,43.333333333333336,36.10294117647059,54.27728613569322,78.77450980392157,0.6900119890624659,0.7610678923680468,114,136,7.230392156862749
Floreana,CM,42.90909090909091,32.11764705882353,65.87583148558758,43.0812324929972,0.6318603196506453,0.7119255785047893,165,85,10.791443850267378
Floreana,PN,42.96296296296296,34.464285714285715,73.15389924085576,83.34415584415585,0.6719875588614284,1.2199543012822525,162,56,8.498677248677247
Floreana,POB,40.8974358974359,30,127.75557775557776,133.33333333333334,1.279801555909121,2.461829819586655,78,22,10.897435897435898
Floreana,WC,43.67741935483871,34.31578947368421,74.05111018014244,63.09070548712206,0.6911939654947826,0.8149310948406172,155,95,9.3616298811545
Floreana,WC2,42.447916666666664,40,54.18575479930192,0,0.5312414450257349,0,192,7,2.4479166666666643
Isabela,AP,41.13095238095238,37.81818181818182,83.14442543484459,63.085904920767305,0.7034964777843791,0.7573032593039792,168,110,3.3127705627705595
Isabela,ECR,39.166666666666664,33.01282051282051,109.79020979020979,72.79983457402813,0.8731735293926474,0.6831292749134457,144,156,6.153846153846153
Isabela,RSA,37.956204379562045,33.84615384615385,61.74166466137269,64.61538461538461,0.4746941568628735,1.5764539639937845,274,26,4.110050533408199
Isabela,RTP,40.05917159763314,39.357798165137616,138.68695407156946,144.954128440367,0.9058878872845212,1.153193127520783,169,109,0.7013734324955223
Isabela,RVS,42.61467889908257,34.81481481481482,82.9937005876633,153.73864430468205,0.6170130051848688,1.6873090800348896,218,54,7.799864084267753
Isabela,TP,42,37.878787878787875,79.39698492462311,65.86270871985158,0.6300673968895039,0.8156469126154448,200,99,4.121212121212125
San.Cristobal,LB2,42.18487394957983,36.13861386138614,54.507904856858,105.94059405940594,0.6767936322438809,1.02416637948402,119,101,6.046260088193691
San.Cristobal,ORO,43.75,44.76190476190476,37.79527559055118,26.19047619047619,0.5433926670016638,1.1167656571008167,128,21,-1.0119047619047592
San.Cristobal,PK,44,43.4375,37.5609756097561,29.737903225806452,0.4771187236136979,0.964006989500829,165,32,0.5625
San.Cristobal,USFQ,43.34905660377358,41.16279069767442,65.9818474470178,80.98495212038304,0.557884512661057,0.9704048071665226,212,86,2.186265906099166
Santa.Cruz,AB,43.09278350515464,37.87128712871287,63.25171821305842,65.59529087237082,0.807514439008237,0.5698501230450942,97,202,5.22149637644177
Santa.Cruz,DP,42.53807106598985,41.74757281553398,76.178390137781,51.81800875690082,0.6218459099525997,0.7092865878185145,197,103,0.7904982504558689
Santa.Cruz,EG,40.68702290076336,38.22485207100592,87.98590722254845,99.21104536489152,0.8195414246619941,0.7661903195090743,131,169,2.46217082975744
Santa.Cruz,EG2,40.30534351145038,36.92307692307692,67.59835584263065,58.333333333333336,0.7183439173066977,0.587509704481518,131,169,3.3822665883734615
Santa.Cruz,ITC,42.5130890052356,41.111111111111114,47.335354092036376,86.11111111111111,0.49782434554358357,3.0932024237944566,191,9,1.4019778941244851
Santa.Cruz,ITC2,40.1593625498008,38.958333333333336,81.57450199203187,98.8918439716312,0.5700859723800521,1.435355966096558,251,48,1.201029216467461
Santa.Cruz,MGN,44.74226804123711,36.310679611650485,52.00576892260029,88.2162573767371,0.5177557086385784,0.9254558434743111,194,103,8.431588429586625
Santa.Cruz,TB,43.54609929078014,35.58441558441559,125.90678824721378,65.34250063661828,0.9449634622649178,0.6513846422704738,141,154,7.961683706364553
